tweet_id,date,full_text,tweet_type,hashtags,mentions,user_id,user_location,geo,lat_coordinates,lng_coordinates,place_type,place_name,place_full_name,country_code,country,prof_country,prof_country_code,prof_locality,prof_region,prof_sub_region,prof_full_name,prof_coord_lat,prof_coord_lng,reply_count,quote_count,likes_count,retweet_counts,hyperlink
1589044785465430017,Sat Nov 05 23:59:34 +0000 2022,@Wazgucci121 @FoxNews Harsher gun laws won't work. They need stiffer penalties. People in Philadelphia shooting other people and only serving 2 years for a first offense.,Reply Tweet,,"['@Wazgucci121', '@FoxNews']",1524476803729047552,"Philadelphia, PA",,,,,,,,,United States,US,Philadelphia,Pennsylvania,Philadelphia County,"Philadelphia, Pennsylvania, United States",-75.16379,39.95234,1,0,0,0,https://twitter.com/twitter/status/1589044785465430017
1589044725650456577,Sat Nov 05 23:59:20 +0000 2022,"@RandPaul Dotard Tunt's Little Green Men 👽
@NRA #RussianSpies 

#RethuglicanTraitors 
#USHistory
🇺🇲 https://t.co/iJgo6L5PLU",Reply Tweet,"['#RussianSpies', '#RethuglicanTraitors', '#USHistory']","['@RandPaul', '@NRA']",1033084441697153024,"Alabama, USA",,,,,,,,,United States,US,,Alabama,,"Alabama, United States",-86.75026,32.75041,0,0,0,0,https://twitter.com/twitter/status/1589044725650456577
1589044639461527553,Sat Nov 05 23:58:59 +0000 2022,"We need to be clear about what’s on the ballot this year because there’s a heck of a lot at stake.
Gun safety is on the ballot. Social Security and Medicare are on the ballot. The survival of our planet and democracy itself are on the ballot. #ProtectMySocialSecurity #VoteBlue **",Original Tweet,"['#ProtectMySocialSecurity', '#VoteBlue']",,2699154074,"Houston, TX",,,,,,,,,United States,US,Houston,Texas,Harris County,"Houston, Texas, United States",-95.36327,29.76328,0,0,0,0,https://twitter.com/twitter/status/1589044639461527553
1589044608520323072,Sat Nov 05 23:58:52 +0000 2022,@TulsiGabbard I exercise my 2nd amendment rights because you exist,Reply Tweet,,['@TulsiGabbard'],555264971,"St Petersburg, FL",,,,,,,,,United States,US,Saint Petersburg,Florida,Pinellas County,"Saint Petersburg, Florida, United States",-82.67927,27.77086,0,0,0,0,https://twitter.com/twitter/status/1589044608520323072
1589044519718486017,Sat Nov 05 23:58:31 +0000 2022,@Evie_50 @BetoORourke I forgot to tell you that it takes a person to commit a crime with a gun. Not the gun. The majority of violent gun crime happens in democrat run cities with substantial gun control.  Check it out,Reply Tweet,,"['@Evie_50', '@BetoORourke']",1520377500815314945,"Annapolis, MD",,,,,,,,,United States,US,Annapolis,Maryland,Anne Arundel County,"Annapolis, Maryland, United States",-76.49218,38.97845,1,0,2,0,https://twitter.com/twitter/status/1589044519718486017
1589044474524491778,Sat Nov 05 23:58:20 +0000 2022,@elonmusk @Erdayastronaut YouTube demonetized disfavored content - like firearms related videos - that depicted perfectly legal activities like training or building guns. It would be nice to have a platform where ALL legal content is safe and monetizable.,Reply Tweet,,"['@elonmusk', '@Erdayastronaut']",116440716,"Austin, Texas",,,,,,,,,United States,US,Austin,Texas,Travis County,"Austin, Texas, United States",-97.74306,30.26715,0,0,67,5,https://twitter.com/twitter/status/1589044474524491778
1589044413426458624,Sat Nov 05 23:58:05 +0000 2022,"@SenTedCruz Why then did you vote against funding the police, and vote against gun control?  Democrats passed both. https://t.co/6ca6BPixmA",Reply Tweet,,['@SenTedCruz'],1102980199,"Los Angeles, CA",,,,,,,,,United States,US,Los Angeles,California,Los Angeles County,"Los Angeles, California, United States",-118.24368,34.05223,0,1,3,1,https://twitter.com/twitter/status/1589044413426458624
1589044381327425536,Sat Nov 05 23:57:58 +0000 2022,"@Desg1234567 @MayoIsSpicyy The reason usually given is the cost to districts and towns. Hopefully, since NY implemented it last year, CT will do so soon. We tend to be a year or two behind NY for most things, except pizza, same sex marriage and gun laws.",Reply Tweet,,"['@Desg1234567', '@MayoIsSpicyy']",1135030891242283008,"Connecticut, USA",,,,,,,,,United States,US,,Connecticut,,"Connecticut, United States",-72.66648,41.66704,0,0,0,0,https://twitter.com/twitter/status/1589044381327425536
1589044360561426432,Sat Nov 05 23:57:53 +0000 2022,Ballot Measure 114 Is The Nation’s Most Extreme Gun Control Initiative T... https://t.co/EKULuqEEqg via @YouTube,Original Tweet,,['@YouTube'],907775383055060992,United States of America,,,,,,,,,United States,US,,,,United States,-98.5,39.76,0,0,0,0,https://twitter.com/twitter/status/1589044360561426432
1589044322766233600,Sat Nov 05 23:57:44 +0000 2022,Police ID 3 men seen running from Alexandria apartment murder; alleged gunman charged https://t.co/PvHBPZnx7i,Original Tweet,,,318362887,Alexandria VA,,,,,,,,,United States,US,Alexandria,Virginia,City of Alexandria,"Alexandria, Virginia, United States",-77.04692,38.80484,0,0,0,0,https://twitter.com/twitter/status/1589044322766233600
